barcode_fieldsample;CORRECTED_barcode_fieldsample;type_sample;latitude;longitude;habitattype;sampling_date;hab_code;hab_name
MFD06084;MFD06084;soil;56.29310758;8.13849822;natural_soil;2022-02-14T00:00:00Z;2140;Klithede
MFD06085;MFD06085;soil;56.31252593;8.16335014;natural_soil;2022-02-16T00:00:00Z;2;ikke habitatnatur
MFD06086;MFD06086;soil;56.30039444;8.13899486;natural_soil;2022-02-16T00:00:00Z;2140;Klithede
MFD06087;MFD06087;soil;56.26244006;8.49617053;natural_soil;2022-03-14T00:00:00Z;4010;Våd hede
MFD06088;MFD06088;soil;56.24044017;8.50305697;natural_soil;2022-03-15T00:00:00Z;4030;Tør hede
MFD06089;MFD06089;soil;56.29908791;8.13701135;natural_soil;2022-02-15T00:00:00Z;2140;Klithede
MFD06090;MFD06090;soil;56.30942901;8.15745805;natural_soil;2022-02-16T00:00:00Z;2;ikke habitatnatur
MFD06091;MFD06091;soil;56.29945223;8.13698529;natural_soil;2022-02-15T00:00:00Z;2140;Klithede
MFD06092;MFD06092;soil;56.2604146;8.49378111;natural_soil;2022-03-14T00:00:00Z;4010;Våd hede
MFD06093;MFD06093;soil;56.25683878;8.51705154;natural_soil;2022-03-14T00:00:00Z;9190;Stilkege-krat
MFD06094;MFD06094;soil;56.29892156;8.13149198;natural_soil;2022-02-15T00:00:00Z;2140;Klithede
MFD06095;MFD06095;soil;56.24296841;8.39256358;natural_soil;2022-03-16T00:00:00Z;6400;Fersk eng
MFD06096;MFD06096;soil;56.24229146;8.39243199;natural_soil;2022-03-16T00:00:00Z;4030;Tør hede
MFD06097;MFD06097;soil;56.24205602;8.48910785;natural_soil;2022-03-15T00:00:00Z;5130;Enekrat
MFD06098;MFD06098;soil;56.25390198;8.4837683;natural_soil;2022-03-15T00:00:00Z;2320;Revling-indlandsklit
MFD06099;MFD06099;soil;56.25802389;8.431730525;natural_soil;2022-03-16T00:00:00Z;9100;Skov
MFD06100;MFD06100;soil;56.26336318;8.41304;natural_soil;2022-03-16T00:00:00Z;2310;Visse-indlandsklit
MFD06101;MFD06101;soil;56.26174946;8.3983408;natural_soil;2022-03-16T00:00:00Z;5130;Enekrat
MFD06102;MFD06102;soil;56.27017022;8.48490726;natural_soil;2022-03-14T00:00:00Z;2;ikke habitatnatur
MFD06103;MFD06103;soil;56.24989138;8.52412771;natural_soil;2022-03-15T00:00:00Z;6230;Surt overdrev
MFD06104;MFD06104;soil;56.30461675;8.15809387;natural_soil;2022-02-16T00:00:00Z;9100;Skov
MFD06105;MFD06105;soil;56.24800135;8.50906106;natural_soil;2022-03-15T00:00:00Z;2320;Revling-indlandsklit
MFD06106;MFD06106;soil;56.26168977;8.40302778;natural_soil;2022-03-16T00:00:00Z;2330;Græs-indlandsklit
MFD06107;MFD06107;soil;56.48049649;9.85323034;natural_soil;2022-03-23T00:00:00Z;2;ikke habitatnatur
MFD06108;MFD06108;soil;56.25648763;8.52081207;natural_soil;2022-03-14T00:00:00Z;4030;Tør hede
MFD06109;MFD06109;soil;56.30942259;8.15810811;natural_soil;2022-02-16T00:00:00Z;2;ikke habitatnatur
MFD06110;MFD06110;soil;56.29697373;8.13670816;natural_soil;2022-02-15T00:00:00Z;2140;Klithede
MFD06111;MFD06111;soil;56.25428419;8.48458604;natural_soil;2022-03-15T00:00:00Z;2320;Revling-indlandsklit
MFD06112;MFD06112;soil;56.24672379;8.40214318;natural_soil;2022-03-16T00:00:00Z;2;ikke habitatnatur
MFD06113;MFD06113;soil;56.24406119;8.39056894;natural_soil;2022-03-16T00:00:00Z;6400;Fersk eng
MFD06114;MFD06114;soil;56.24879852;8.38841557;natural_soil;2022-03-16T00:00:00Z;2;ikke habitatnatur
MFD06115;MFD06115;soil;56.24869929;8.49078573;natural_soil;2022-03-15T00:00:00Z;2330;Græs-indlandsklit
MFD06116;MFD06116;soil;56.24469628;8.48667804;natural_soil;2022-03-15T00:00:00Z;4030;Tør hede
MFD06117;MFD06117;soil;56.24195305;8.40762987;natural_soil;2022-03-16T00:00:00Z;2320;Revling-indlandsklit
MFD06118;MFD06118;soil;56.25603551;8.51117874;natural_soil;2022-03-14T00:00:00Z;5130;Enekrat
MFD06119;MFD06119;soil;56.47744267;9.85436728;natural_soil;2022-03-23T00:00:00Z;6200;Overdrev
MFD06120;MFD06120;soil;56.2986036;8.13179152;natural_soil;2022-02-15T00:00:00Z;2140;Klithede
MFD06121;MFD06121;soil;56.29879783;8.14621815;natural_soil;2022-02-15T00:00:00Z;2130;Grå/grøn klit
MFD06122;MFD06122;soil;56.2546658;8.42053616;natural_soil;2022-03-16T00:00:00Z;2320;Revling-indlandsklit
MFD06123;MFD06123;soil;56.26393196;8.40097781;natural_soil;2022-03-16T00:00:00Z;2300;Indlandsklit
MFD06124;MFD06124;soil;56.30839948;8.15229799;natural_soil;2022-02-16T00:00:00Z;2;ikke habitatnatur
MFD06125;MFD06125;soil;56.30776682;8.15241353;natural_soil;2022-02-16T00:00:00Z;2;ikke habitatnatur
MFD06126;MFD06126;soil;56.24678393;8.39363231;natural_soil;2022-03-16T00:00:00Z;7100;Mose
MFD06127;MFD06127;soil;56.25760397;8.4188602;natural_soil;2022-03-16T00:00:00Z;5130;Enekrat
MFD06128;MFD06128;soil;56.29528773;8.13981216;natural_soil;2022-02-15T00:00:00Z;2130;Grå/grøn klit
MFD06129;MFD06129;soil;56.29284645;8.14514723;natural_soil;2022-02-14T00:00:00Z;2140;Klithede
MFD06130;MFD06130;soil;56.25751865;8.43170655;natural_soil;2022-03-16T00:00:00Z;9100;Skov
MFD06131;MFD06131;soil;56.483386;9.85999408;natural_soil;2022-03-23T00:00:00Z;2;ikke habitatnatur
MFD06132;MFD06132;soil;56.25877121;8.50583898;natural_soil;2022-03-14T00:00:00Z;4030;Tør hede
MFD06133;MFD06133;soil;56.25613453;8.49288501;natural_soil;2022-03-15T00:00:00Z;9100;Skov
MFD06134;MFD06134;soil;56.23924602;8.47967666;natural_soil;2022-03-15T00:00:00Z;9100;Skov
MFD06135;MFD06135;soil;56.25245954;8.50856221;natural_soil;2022-03-15T00:00:00Z;4010;Våd hede
MFD06136;MFD06136;soil;56.25653873;8.41974667;natural_soil;2022-03-16T00:00:00Z;5130;Enekrat
MFD06137;MFD06137;soil;56.25339969;8.51102247;natural_soil;2022-03-15T00:00:00Z;7140;Hængesæk
MFD06138;MFD06138;soil;56.3114536;8.16410914;natural_soil;2022-02-16T00:00:00Z;2;ikke habitatnatur
MFD06139;MFD06139;soil;56.25317575;8.50744178;natural_soil;2022-03-15T00:00:00Z;4010;Våd hede
MFD06140;MFD06140;soil;56.25254949;8.5099955;natural_soil;2022-03-15T00:00:00Z;9190;Stilkege-krat
MFD06141;MFD06141;soil;56.30120127;8.13832151;natural_soil;2022-02-16T00:00:00Z;2140;Klithede
MFD06142;MFD06142;soil;56.24809419;8.5128015;natural_soil;2022-03-15T00:00:00Z;9190;Stilkege-krat
MFD06143;MFD06143;soil;56.25409751;8.47558354;natural_soil;2022-03-15T00:00:00Z;2320;Revling-indlandsklit
MFD06144;MFD06144;soil;56.30058359;8.13411283;natural_soil;2022-02-15T00:00:00Z;2140;Klithede
MFD06145;MFD06145;soil;56.29738927;8.134690785;natural_soil;2022-02-15T00:00:00Z;2190;Klitlavning
MFD06146;MFD06146;soil;56.25912216;8.49714565;natural_soil;2022-03-14T00:00:00Z;6410;Tidvis våd eng
MFD06147;MFD06147;soil;56.29429677;8.14308814;natural_soil;2022-02-15T00:00:00Z;2140;Klithede
MFD06148;MFD06148;soil;56.29883823;8.14557016;natural_soil;2022-02-15T00:00:00Z;2130;Grå/grøn klit
MFD06149;MFD06149;soil;56.47748102;9.83449848;natural_soil;2022-03-23T00:00:00Z;9190;Stilkege-krat
MFD06150;MFD06150;soil;56.29573226;8.12995351;natural_soil;2022-02-14T00:00:00Z;2140;Klithede
MFD06151;MFD06151;soil;56.30394705;8.154735185;natural_soil;2022-02-16T00:00:00Z;9100;Skov
MFD06152;MFD06152;soil;56.29293069;8.1395321;natural_soil;2022-02-14T00:00:00Z;2140;Klithede
MFD06153;MFD06153;soil;56.29533576;8.14642259;natural_soil;2022-02-15T00:00:00Z;2190;Klitlavning
MFD06154;MFD06154;soil;56.30614722;8.1511447;natural_soil;2022-02-16T00:00:00Z;9100;Skov
MFD06155;MFD06155;soil;56.29591694;8.14467951;natural_soil;2022-02-15T00:00:00Z;2190;Klitlavning
MFD06156;MFD06156;soil;56.30415079;8.16150888;natural_soil;2022-02-16T00:00:00Z;9100;Skov
MFD06157;MFD06157;soil;56.47593972;9.84171098;natural_soil;2022-03-23T00:00:00Z;9130;Bøg på muld
MFD06158;MFD06158;soil;56.2567021;8.48699805;natural_soil;2022-03-15T00:00:00Z;2310;Visse-indlandsklit
MFD06159;MFD06159;soil;56.29274862;8.14424038;natural_soil;2022-02-15T00:00:00Z;2140;Klithede
MFD06160;MFD06160;soil;56.29544981;8.13261857;natural_soil;2022-02-14T00:00:00Z;2190;Klitlavning
MFD06161;MFD06161;soil;56.28125573;8.41271526;natural_soil;2022-03-16T00:00:00Z;9190;Stilkege-krat
MFD06162;MFD06162;soil;56.48126627;9.84280895;natural_soil;2022-03-23T00:00:00Z;9160;Ege-blandskov
MFD06163;MFD06163;soil;56.29589309;8.14760187;natural_soil;2022-02-15T00:00:00Z;2140;Klithede
MFD06164;MFD06164;soil;56.24882673;8.49077742;natural_soil;2022-03-15T00:00:00Z;2320;Revling-indlandsklit
MFD06165;MFD06165;soil;56.24539186;8.39409023;natural_soil;2022-03-16T00:00:00Z;6230;Surt overdrev
MFD06166;MFD06166;soil;56.26023793;8.40030849;natural_soil;2022-03-16T00:00:00Z;4010;Våd hede
MFD06167;MFD06167;soil;56.29584923;8.13192567;natural_soil;2022-02-14T00:00:00Z;2190;Klitlavning
MFD06168;MFD06168;soil;56.29548758;8.13196605;natural_soil;2022-02-14T00:00:00Z;2190;Klitlavning
MFD06169;MFD06169;soil;56.29267863;8.13392778;natural_soil;2022-02-14T00:00:00Z;2140;Klithede
MFD06170;MFD06170;soil;56.31297386;8.16283111;natural_soil;2022-02-16T00:00:00Z;2;ikke habitatnatur
MFD06171;MFD06171;soil;56.26074585;8.487855105;natural_soil;2022-03-15T00:00:00Z;9100;Skov
MFD06172;MFD06172;soil;56.29539065;8.14574736;natural_soil;2022-02-15T00:00:00Z;2190;Klitlavning
MFD06173;MFD06173;soil;56.29799561;8.14319891;natural_soil;2022-02-15T00:00:00Z;2140;Klithede
MFD06174;MFD06174;soil;56.29295515;8.13555887;natural_soil;2022-02-14T00:00:00Z;2140;Klithede
MFD06175;MFD06175;soil;56.26399622;8.49359921;natural_soil;2022-03-14T00:00:00Z;4030;Tør hede
MFD06176;MFD06176;soil;56.24130661;8.49153138;natural_soil;2022-03-15T00:00:00Z;4000;Hede
MFD06177;MFD06177;soil;56.25711142;8.41404357;natural_soil;2022-03-16T00:00:00Z;2330;Græs-indlandsklit
MFD06178;MFD06178;soil;56.31206147;8.1580893;natural_soil;2022-02-16T00:00:00Z;2;ikke habitatnatur
MFD06179;MFD06179;soil;56.29304788;8.144596665;natural_soil;2022-02-15T00:00:00Z;2140;Klithede
MFD06180;MFD06180;soil;56.29516932;8.13065188;natural_soil;2022-02-14T00:00:00Z;2190;Klitlavning
MFD06181;MFD06181;soil;56.2549582;8.4789718;natural_soil;2022-03-15T00:00:00Z;4010;Våd hede
MFD06182;MFD06182;soil;56.25086382;8.48605306;natural_soil;2022-03-15T00:00:00Z;4010;Våd hede
MFD06183;MFD06183;soil;56.26564693;8.49525271;natural_soil;2022-03-14T00:00:00Z;4030;Tør hede
MFD06184;MFD06184;soil;56.25472916;8.513920355;natural_soil;2022-03-14T00:00:00Z;9190;Stilkege-krat
MFD06185;MFD06185;soil;56.251794;8.49477516;natural_soil;2022-03-15T00:00:00Z;9100;Skov
MFD06186;MFD06186;soil;56.25188775;8.53412859;natural_soil;2022-03-15T00:00:00Z;4030;Tør hede
MFD06187;MFD06187;soil;56.2672064;8.40640125;natural_soil;2022-03-16T00:00:00Z;4000;Hede
MFD06188;MFD06188;soil;56.26439354;8.40278615;natural_soil;2022-03-16T00:00:00Z;2320;Revling-indlandsklit
MFD06189;MFD06189;soil;56.3069226;8.15287677;natural_soil;2022-02-16T00:00:00Z;9100;Skov
MFD06190;MFD06190;soil;56.25469934;8.52419596;natural_soil;2022-03-14T00:00:00Z;4030;Tør hede
MFD06191;MFD06191;soil;56.25396225;8.4109136;natural_soil;2022-03-16T00:00:00Z;2300;Indlandsklit
MFD06192;MFD06192;soil;56.30978887;8.15747267;natural_soil;2022-02-16T00:00:00Z;2;ikke habitatnatur
MFD06193;MFD06193;soil;56.29914305;8.12987765;natural_soil;2022-02-15T00:00:00Z;2140;Klithede
MFD06194;MFD06194;soil;56.29824491;8.135458725;natural_soil;2022-02-15T00:00:00Z;2140;Klithede
MFD06195;MFD06195;soil;56.29947984;8.13634945;natural_soil;2022-02-15T00:00:00Z;2140;Klithede
MFD06196;MFD06196;soil;56.29492544;8.1318645;natural_soil;2022-02-14T00:00:00Z;2190;Klitlavning
MFD06197;MFD06197;soil;56.27223887;8.48806376;natural_soil;2022-03-14T00:00:00Z;4030;Tør hede
MFD06198;MFD06198;soil;56.28114395;8.413140895;natural_soil;2022-03-16T00:00:00Z;9190;Stilkege-krat
MFD06199;MFD06199;soil;56.26099178;8.40212159;natural_soil;2022-03-16T00:00:00Z;4010;Våd hede
MFD06200;MFD06200;soil;56.48194931;9.84195381;natural_soil;2022-03-23T00:00:00Z;9120;Bøg på mor med kristtorn
MFD06201;MFD06201;soil;56.24445414;8.41261726;natural_soil;2022-03-16T00:00:00Z;9100;Skov
MFD06202;MFD06202;soil;56.48031577;9.84422118;natural_soil;2022-03-23T00:00:00Z;2;ikke habitatnatur
MFD06203;MFD06203;soil;56.29664655;8.13167303;natural_soil;2022-02-14T00:00:00Z;2140;Klithede
MFD06204;MFD06204;soil;56.26028868;8.41663842;natural_soil;2022-03-16T00:00:00Z;4010;Våd hede
MFD06205;MFD06205;soil;56.30291798;8.13963108;natural_soil;2022-02-16T00:00:00Z;9100;Skov
MFD06206;MFD06206;soil;56.30810232;8.15384937;natural_soil;2022-02-16T00:00:00Z;2;ikke habitatnatur
MFD06207;MFD06207;soil;56.29372987;8.133813975;natural_soil;2022-02-14T00:00:00Z;2140;Klithede
MFD06208;MFD06208;soil;56.26274806;8.52607557;natural_soil;2022-03-15T00:00:00Z;4030;Tør hede
MFD06209;MFD06209;soil;56.31288377;8.16345429;natural_soil;2022-02-16T00:00:00Z;2;ikke habitatnatur
MFD06210;MFD06210;soil;56.2512695;8.39997665;natural_soil;2022-03-16T00:00:00Z;7100;Mose
MFD06211;MFD06211;soil;56.30777173;8.15452394;natural_soil;2022-02-16T00:00:00Z;2;ikke habitatnatur
MFD06212;MFD06212;soil;56.30869608;8.15861479;natural_soil;2022-02-16T00:00:00Z;2;ikke habitatnatur
MFD06213;MFD06213;soil;56.25124294;8.40195535;natural_soil;2022-03-16T00:00:00Z;7230;Rigkær
MFD06214;MFD06214;soil;56.26156605;8.39883719;natural_soil;2022-03-16T00:00:00Z;2320;Revling-indlandsklit
MFD06215;MFD06215;soil;56.48094529;9.85687296;natural_soil;2022-03-23T00:00:00Z;2;ikke habitatnatur
MFD06216;MFD06216;soil;56.48274147;9.846063205;natural_soil;2022-03-23T00:00:00Z;9130;Bøg på muld
MFD06217;MFD06217;soil;56.24133118;8.49024015;natural_soil;2022-03-15T00:00:00Z;5130;Enekrat
MFD06218;MFD06218;soil;56.31132169;8.16146565;natural_soil;2022-02-16T00:00:00Z;2;ikke habitatnatur
MFD06219;MFD06219;soil;56.27941853;8.41539839;natural_soil;2022-03-16T00:00:00Z;4030;Tør hede
MFD06220;MFD06220;Soil;56.21584128;10.11080487;natural_soil;2022-06-01T00:00:00Z;2;ikke habitatnatur
MFD06221;MFD06221;soil;55.010096;15.020667;natural_soil;06-07-2021;7210;Avneknippemose
MFD06222;MFD06222;Soil;55.09863;15.00478;natural_soil;03-07-2021;6410;Tidvis våd eng
MFD06223;MFD06223;Sediment;56.20638852;10.10485559;natural_soil;2022-05-18T00:00:00Z;7100;Mose
MFD06224;MFD06224;Soil;56.20258314;10.10601447;natural_soil;2022-05-11T00:00:00Z;6200;Overdrev
MFD06225;MFD06225;Soil;56.21118514;10.11485744;natural_soil;2022-05-12T00:00:00Z;6410;Tidvis våd eng
MFD06226;MFD06226;Soil;56.20297899;10.1040108;natural_soil;2022-05-11T00:00:00Z;6200;Overdrev
MFD06227;MFD06227;soil;55.286871;14.7523;natural_soil;27-06-2021;1230;Kystklint/klippe
MFD06228;MFD06228;soil;55.035885;14.870552;natural_soil;06-07-2021;1230;Kystklint/klippe
MFD06229;MFD06229;Soil;56.20455878;10.10668968;natural_soil;2022-05-12T00:00:00Z;7100;Mose
MFD06230;MFD06230;Soil;56.2070481;10.1112256;natural_soil;2022-05-11T00:00:00Z;7100;Mose
MFD06231;MFD06231;Soil;56.20921663;10.10620142;natural_soil;2022-05-30T00:00:00Z;6400;Eng
MFD06232;MFD06232;Sediment/water;56.20654805;10.10654751;natural_soil;2022-05-18T00:00:00Z;7100;Mose
MFD06233;MFD06233;soil;55.270705;14.756744;natural_soil;28-06-2021;8220;Indlandsklippe
MFD06234;MFD06234;soil;55.245384;14.734761;natural_soil;29-06-2021;5130;Enekrat
MFD06235;MFD06235;Soil;56.20300362;10.10377518;natural_soil;2022-05-11T00:00:00Z;6200;Overdrev
MFD06236;MFD06236;soil;54.9891;15.079132;natural_soil;05-07-2021;2190;Klitlavning
MFD06237;MFD06237;soil;55.02012;14.92254;natural_soil;06-07-2021;2180;Skovklit
MFD06238;MFD06238;soil;55.091852;14.989939;natural_soil;03-07-2021;6410;Tidvis våd eng
MFD06239;MFD06239;Soil;56.20527911;10.10747345;natural_soil;2022-05-12T00:00:00Z;7100;Mose
MFD06240;MFD06240;soil;55.109473;14.948034;natural_soil;08-07-2021;91E0;Elle- og askeskov
MFD06241;MFD06241;soil;55.096545;15.086016;natural_soil;04-07-2021;6410;Tidvis våd eng
MFD06242;MFD06242;Soil;56.20633784;10.11002672;natural_soil;2022-05-11T00:00:00Z;6210;Kalkoverdrev
MFD06243;MFD06243;Soil;56.20754364;10.10964169;natural_soil;2022-06-01T00:00:00Z;6400;Eng
MFD06244;MFD06244;Soil;56.20262336;10.10322654;natural_soil;2022-05-11T00:00:00Z;6400;Eng
MFD06245;MFD06245;Soil;56.20684499;10.11696927;natural_soil;2022-05-11T00:00:00Z;2;ikke habitatnatur
MFD06246;MFD06246;Soil;56.20733225;10.11013601;natural_soil;2022-06-01T00:00:00Z;6400;Eng
MFD06247;MFD06247;Soil;56.21296992;10.11070196;natural_soil;2022-06-03T00:00:00Z;2;ikke habitatnatur
MFD06248;MFD06248;Soil;56.21564942;10.11064293;natural_soil;2022-06-01T00:00:00Z;6400;Eng
MFD06249;MFD06249;Soil;56.21078114;10.11373463;natural_soil;2022-05-12T00:00:00Z;6400;Eng
MFD06250;MFD06250;Soil;56.21161476;10.11221849;natural_soil;2022-05-19T00:00:00Z;6410;Tidvis våd eng
MFD06251;MFD06251;Soil;56.21602282;10.11177664;natural_soil;2022-05-30T00:00:00Z;2;ikke habitatnatur
MFD06252;MFD06252;Soil;56.21340414;10.10882371;natural_soil;2022-06-03T00:00:00Z;2;ikke habitatnatur
MFD06253;MFD06253;Soil;56.21852611;10.11226576;natural_soil;2022-05-30T00:00:00Z;6400;Eng
MFD06254;MFD06254;Soil;56.21615301;10.10725653;natural_soil;2022-05-30T00:00:00Z;2;ikke habitatnatur
MFD06255;MFD06255;Soil;56.21699438;10.1170702;natural_soil;2022-05-23T00:00:00Z;6400;Eng
MFD06256;MFD06256;Soil;56.20977145;10.10653336;natural_soil;2022-06-01T00:00:00Z;6400;Eng
MFD06257;MFD06257;Soil;56.20709777;10.11216583;natural_soil;2022-05-11T00:00:00Z;6400;Eng
MFD06258;MFD06258;Soil;56.21390203;10.10978584;natural_soil;2022-06-03T00:00:00Z;2;ikke habitatnatur
MFD06259;MFD06259;Soil;56.21349588;10.11057034;natural_soil;2022-06-03T00:00:00Z;2;ikke habitatnatur
MFD06260;MFD06260;Soil;56.21543069;10.1158663;natural_soil;2022-05-23T00:00:00Z;6400;Eng
MFD06261;MFD06261;Soil;56.21361449;10.10933983;natural_soil;2022-06-03T00:00:00Z;2;ikke habitatnatur
MFD06262;MFD06262;Soil;56.21311383;10.10901534;natural_soil;2022-06-03T00:00:00Z;2;ikke habitatnatur
MFD06263;MFD06263;Soil;56.21572232;10.10947773;natural_soil;2022-06-01T00:00:00Z;6400;Eng
MFD06264;MFD06264;Soil;56.21015244;10.10628841;natural_soil;2022-06-01T00:00:00Z;6400;Eng
MFD06265;MFD06265;Soil;56.20850964;10.10949544;natural_soil;2022-06-01T00:00:00Z;7000;Mose og Kær
MFD06266;MFD06266;Soil;56.20825427;10.12374484;natural_soil;2022-06-03T00:00:00Z;2;ikke habitatnatur
MFD06267;MFD06267;Soil;56.21640719;10.11544357;natural_soil;2022-05-23T00:00:00Z;6400;Eng
MFD06268;MFD06268;Soil;56.21596971;10.10966126;natural_soil;2022-06-01T00:00:00Z;2;ikke habitatnatur
MFD06269;MFD06269;Soil;56.21400165;10.1082956;natural_soil;2022-06-03T00:00:00Z;2;ikke habitatnatur
MFD06270;MFD06270;Soil;56.21530657;10.11073732;natural_soil;2022-06-01T00:00:00Z;6400;Eng
MFD06271;MFD06271;Sediment;56.20815713;10.11014018;natural_soil;2022-06-01T00:00:00Z;7000;Mose og Kær
MFD06272;MFD06272;Soil;56.21391318;10.10879764;natural_soil;2022-06-03T00:00:00Z;2;ikke habitatnatur
MFD06273;MFD06273;Soil;56.21160461;10.11590614;natural_soil;2022-05-12T00:00:00Z;6410;Tidvis våd eng
MFD06274;MFD06274;Soil;56.21158599;10.11718784;natural_soil;2022-05-12T00:00:00Z;6410;Tidvis våd eng
MFD06275;MFD06275;Sediment;56.20760727;10.1203169;natural_soil;2022-05-11T00:00:00Z;7000;Mose og Kær
MFD06276;MFD06276;Soil;56.20448286;10.10686027;natural_soil;2022-05-12T00:00:00Z;7000;Mose og Kær
MFD06277;MFD06277;Sediment;56.2081736;10.11565819;natural_soil;2022-05-11T00:00:00Z;7000;Mose og Kær
MFD06278;MFD06278;Soil;56.20326558;10.10556828;natural_soil;2022-05-11T00:00:00Z;6200;Overdrev
MFD06279;MFD06279;Sediment;56.2079142;10.11595568;natural_soil;2022-05-11T00:00:00Z;7000;Mose og Kær
MFD06280;MFD06280;Soil;56.20893738;10.10469594;natural_soil;2022-05-30T00:00:00Z;6400;Eng
MFD06281;MFD06281;Soil;56.20283043;10.10467168;natural_soil;2022-05-11T00:00:00Z;6200;Overdrev
MFD06283;MFD06283;Soil;56.20332152;10.10456329;natural_soil;2022-05-11T00:00:00Z;6200;Overdrev
MFD06284;MFD06284;Sediment;56.20615549;10.10462767;natural_soil;2022-05-18T00:00:00Z;7000;Mose og Kær
MFD06285;MFD06285;Soil;56.20944645;10.1061603;natural_soil;2022-05-30T00:00:00Z;6400;Eng
MFD06286;MFD06286;Soil;56.21169274;10.11187462;natural_soil;2022-05-19T00:00:00Z;6410;Tidvis våd eng
MFD06287;MFD06287;Soil;56.20772228;10.12114562;natural_soil;2022-05-11T00:00:00Z;6410;Tidvis våd eng
MFD06288;MFD06288;Soil;56.21237633;10.11254421;natural_soil;2022-05-19T00:00:00Z;6410;Tidvis våd eng
MFD06289;MFD06289;Soil;56.21433436;10.10984808;natural_soil;2022-06-03T00:00:00Z;6410;Tidvis våd eng
MFD06290;MFD06290;soil;55.195724;14.851297;natural_soil;30-06-2021;8220;Indlandsklippe
MFD06291;MFD06291;Soil;56.20992796;10.10594455;natural_soil;2022-06-01T00:00:00Z;6400;Eng
MFD06292;MFD06292;Soil;56.215318;10.11003463;natural_soil;2022-06-01T00:00:00Z;6400;Eng
MFD06293;MFD06293;Soil;56.21334684;10.11080928;natural_soil;2022-06-03T00:00:00Z;2;ikke habitatnatur
MFD06294;MFD06294;Soil;56.2124112;10.11549441;natural_soil;2022-05-19T00:00:00Z;6400;Eng
MFD06295;MFD06295;Soil;56.21687151;10.11687792;natural_soil;2022-05-23T00:00:00Z;6400;Eng
MFD06296;MFD06296;soil;55.244702;14.733234;natural_soil;29-06-2021;8220;Indlandsklippe
MFD06297;MFD06297;Soil;56.21834622;10.11466423;natural_soil;2022-05-30T00:00:00Z;2;ikke habitatnatur
MFD06298;MFD06298;Soil;56.20216654;10.10253411;natural_soil;2022-05-11T00:00:00Z;6400;Eng
MFD06299;MFD06299;Soil;56.20666241;10.10507239;natural_soil;2022-06-03T00:00:00Z;6400;Eng
