study	submitted_id	internal_lib_name	genome_acc	wgs_acc	biosample	ncbi_taxonomy
PRJNA1071982	MFD13460_ilm_asm_bin20	LIB-MJ413-C11_01.20	GCA_049656245.1	JBASLH000000000	SAMN40012144	Acetomicrobium sp.
PRJNA1071982	MFD13474_ilm_asm_bin15	LIB-MJ413-C9_01.15	GCA_049655745.1	JBASKH000000000	SAMN40012170	Acetomicrobium sp.
PRJNA1071982	MFD13485_ilm_asm_bin19	LIB-MJ413-H7_01.19	GCA_049274665.1	JBASTA000000000	SAMN40012560	Acetomicrobium sp.
PRJNA1071982	MFD13478_ilm_asm_bin8	LIB-MJ413-G8_01.8	GCA_049275895.1	JBASVK000000000	SAMN40012498	Acetomicrobium sp.
PRJNA1071982	MFD13463_ilm_asm_bin32	LIB-MJ413-H10_01.32	GCA_049275455.1	JBASUO000000000	SAMN40012520	Acetomicrobium sp.
PRJNA1071982	MFD13472_ilm_asm_bin14	LIB-MJ413-E9_01.14	GCA_049654325.1	JBASEI000000000	SAMN40012327	Acholeplasmatales bacterium
PRJNA1071982	MFD12221_ilm_asm_bin17	LIB-MJ388-D9_02.17	GCA_049651105.1	JBASBK000000000	SAMN40011639	Achromobacter pulmonis
PRJNA1071982	MFD12220_ilm_asm_bin14	LIB-MJ389-D6_03.14	GCA_049647645.1	JBARYB000000000	SAMN40011726	Achromobacter sp.
PRJNA1071982	MFD12133_ilm_asm_bin15	LIB-MJ389-F9_03.15	GCA_049647005.1	JBARWW000000000	SAMN40011757	Acidaminobacteraceae bacterium
PRJNA1071982	MFD01223_ilm_asm_bin9	LIB-MJ106-H9_01.9	GCA_049279055.1	JBAPNI000000000	SAMN40007966	Acidimicrobiales bacterium
PRJNA1071982	MFD00111_ilm_asm_bin14	LIB-MJ055-A6_04.14	GCA_049284135.1	JBAPXI000000000	SAMN40007706	Acidimicrobiales bacterium
PRJNA1071982	MFD01308_ilm_asm_bin35	LIB-MJ088-C8_04_v_LIB-MJ365-C8_02.35	GCA_049283575.1	JBAPWG000000000	SAMN40007734	Acidimicrobiales bacterium
PRJNA1071982	MFD00673_ilm_asm_bin33	LIB-MJ089-G9_02.33	GCA_049282715.1	JBAPUO000000000	SAMN40007778	Acidimicrobiales bacterium
PRJNA1071982	MFD01230_ilm_asm_bin12	LIB-MJ092-B4_01.12	GCA_049281195.1	JBAPRR000000000	SAMN40007853	Acidimicrobiales bacterium
PRJNA1071982	MFD03398_ilm_asm_bin7	LIB-MJ105-B10_01.7	GCA_049280395.1	JBAPQA000000000	SAMN40007896	Acidimicrobiales bacterium
PRJNA1071982	MFD01112_ilm_asm_bin26	LIB-MJ306-H8_01.26	GCA_049288175.1	JBAQHE000000000	SAMN40010243	Acidimicrobiales bacterium
PRJNA1071982	MFD00012_ilm_asm_bin12	LIB-MJ050-F11_02.12	GCA_049285295.1	JBAPZP000000000	SAMN40007647	Acidimicrobiales bacterium
PRJNA1071982	MFD13442_ilm_asm_bin24	LIB-MJ390-C7_03.24	GCA_049644885.1	JBARST000000000	SAMN40011864	Acidimicrobiales bacterium
PRJNA1071982	MFD02913_ilm_asm_bin1	LIB-MJ132-H3_03.1	GCA_049696635.1	JBAVUF000000000	SAMN40008449	Acidimicrobiales bacterium
PRJNA1071982	MFD04521_ilm_asm_bin2	LIB-MJ151-B12_04.2	GCA_049689835.1	JBAVMG000000000	SAMN40008656	Acidimicrobiales bacterium
PRJNA1071982	MFD04521_ilm_asm_bin15	LIB-MJ151-B12_04.15	GCA_049689815.1	JBAVMH000000000	SAMN40008655	Acidimicrobiales bacterium
PRJNA1071982	MFD03800_ilm_asm_bin11	LIB-MJ281-C1_01.11	GCA_049685495.1	JBAVHD000000000	SAMN40009647	Acidimicrobiales bacterium
PRJNA1071982	MFD10772_ilm_asm_bin27	LIB-MJ354-H3_04_v_LIB-MJ367-H3_04.27	GCA_049679505.1	JBAUGD000000000	SAMN40011249	Acidimicrobiales bacterium
PRJNA1071982	MFD10772_ilm_asm_bin51	LIB-MJ354-H3_04_v_LIB-MJ367-H3_04.51	GCA_049679385.1	JBAUFY000000000	SAMN40011254	Acidimicrobiales bacterium
PRJNA1071982	MFD10205_ilm_asm_bin39	LIB-MJ283-B2_04.39	GCA_049669565.1	JBATKO000000000	SAMN40009704	Acidimicrobiales bacterium
PRJNA1071982	MFD10856_ilm_asm_bin7	LIB-MJ353-B8_03_v_LIB-MJ367-B8_03.7	GCA_049790955.1	JBAQZL000000000	SAMN40011167	Acidimicrobiales bacterium
PRJNA1071982	MFD09730_ilm_asm_bin4	LIB-MJ352-C4_03.4	GCA_049793395.1	JBARBV000000000	SAMN40011104	Acidimicrobiales bacterium
PRJNA1071982	MFD05764_ilm_asm_bin239	LIB-MJ352-E7_03_v_LIB-MJ368-E7_01.239	GCA_049793015.1	JBARBL000000000	SAMN40011114	Acidimicrobiales bacterium
PRJNA1071982	MFD09904_ilm_asm_bin24	LIB-MJ338-E1_04.24	GCA_049801955.1	JBARLO000000000	SAMN40010851	Acidimicrobiales bacterium
PRJNA1071982	MFD06128_ilm_asm_bin12	LIB-MJ341-B4_02_v_LIB-MJ367-B4_04.12	GCA_049799595.1	JBARIE000000000	SAMN40010939	Acidimicrobiales bacterium
PRJNA1071982	MFD06538_ilm_asm_bin23	LIB-MJ341-E5_02_v_LIB-MJ406-B2_04.23	GCA_049799355.1	JBARHS000000000	SAMN40010951	Acidimicrobiales bacterium
PRJNA1071982	MFD01947_ilm_asm_bin47	LIB-MJ259-A2_04.47	GCA_049581565.1	JBAUSF000000000	SAMN40009536	Acidimicrobiales bacterium
PRJNA1071982	MFD09235_ilm_asm_bin58	LIB-MJ250-C5_04_v_LIB-MJ365-C5_03.58	GCA_049585755.1	JBAVAO000000000	SAMN40009324	Acidimicrobiales bacterium
PRJNA1071982	MFD09265_ilm_asm_bin61	LIB-MJ250-F2_04_v_LIB-MJ365-F2_03.61	GCA_049585395.1	JBAUZS000000000	SAMN40009343	Acidimicrobiales bacterium
PRJNA1071982	MFD01742_ilm_asm_bin7	LIB-MJ254-B6_02.7	GCA_049583915.1	JBAUWT000000000	SAMN40009418	Acidimicrobiales bacterium
PRJNA1071982	MFD02248_ilm_asm_bin18	LIB-MJ254-E3_02.18	GCA_049583795.1	JBAUWN000000000	SAMN40009424	Acidimicrobiales bacterium
PRJNA1071982	MFD04492_ilm_asm_bin6	LIB-MJ227-E5_02.6	GCA_049587415.1	JBAVDW000000000	SAMN40009238	Acidimicrobiales bacterium
PRJNA1071982	MFD05683_ilm_asm_bin43	LIB-MJ197-H2_03_v_LIB-MJ415-H8_04.43	GCA_049579345.1	JBAUNS000000000	SAMN40009029	Acidimicrobiales bacterium
PRJNA1071982	MFD05684_ilm_asm_bin20	LIB-MJ198-E1_03.20	GCA_049579045.1	JBAUNC000000000	SAMN40009045	Acidimicrobiia bacterium
PRJNA1071982	MFD04996_ilm_asm_bin2	LIB-MJ198-F1_03.2	GCA_049579005.1	JBAUNA000000000	SAMN40009047	Acidimicrobiia bacterium
PRJNA1071982	MFD01837_ilm_asm_bin13	LIB-MJ199-A9_04.13	GCA_049578725.1	JBAUMP000000000	SAMN40009058	Acidimicrobiia bacterium
PRJNA1071982	MFD09314_ilm_asm_bin41	LIB-MJ201-D10_03.41	GCA_049578105.1	JBAULI000000000	SAMN40009091	Acidimicrobiia bacterium
PRJNA1071982	MFD04776_ilm_asm_bin14	LIB-MJ192-E4_04.14	GCA_049589855.1	JBAWBP000000000	SAMN40008891	Acidimicrobiia bacterium
PRJNA1071982	MFD09415_ilm_asm_bin2	LIB-MJ255-G7_02.2	GCA_049582505.1	JBAUUC000000000	SAMN40009487	Acidimicrobiia bacterium
PRJNA1071982	MFD06716_ilm_asm_bin1	LIB-MJ341-A4_02.1	GCA_049799655.1	JBARII000000000	SAMN40010935	Acidimicrobiia bacterium
PRJNA1071982	MFD10219_ilm_asm_bin20	LIB-MJ283-B4_04.20	GCA_049669275.1	JBATKJ000000000	SAMN40009709	Acidimicrobiia bacterium
PRJNA1071982	MFD10196_ilm_asm_bin44	LIB-MJ283-A1_04_v_LIB-MJ415-A6_04.44	GCA_049670105.1	JBATLF000000000	SAMN40009687	Acidimicrobiia bacterium
PRJNA1071982	MFD10222_ilm_asm_bin6	LIB-MJ283-E4_04.6	GCA_049668405.1	JBATJI000000000	SAMN40009736	Acidimicrobiia bacterium
PRJNA1071982	MFD10224_ilm_asm_bin26	LIB-MJ283-G4_04.26	GCA_049667825.1	JBATIR000000000	SAMN40009753	Acidimicrobiia bacterium
PRJNA1071982	MFD10257_ilm_asm_bin7	LIB-MJ283-H8_04.7	GCA_049667065.1	JBATHT000000000	SAMN40009777	Acidimicrobiia bacterium
PRJNA1071982	MFD10316_ilm_asm_bin39	LIB-MJ284-C5_03.39	GCA_049666265.1	JBATGZ000000000	SAMN40009797	Acidimicrobiia bacterium
PRJNA1071982	MFD10337_ilm_asm_bin27	LIB-MJ284-H7_03.27	GCA_049664425.1	JBATFC000000000	SAMN40009846	Acidimicrobiia bacterium
PRJNA1071982	MFD10345_ilm_asm_bin22	LIB-MJ284-H8_03.22	GCA_049664285.1	JBATFA000000000	SAMN40009848	Acidimicrobiia bacterium
PRJNA1071982	MFD02594_ilm_asm_bin11	LIB-MJ263-C2_04.11	GCA_049686815.1	JBAVIK000000000	SAMN40009614	Acidimicrobiia bacterium
PRJNA1071982	MFD02586_ilm_asm_bin11	LIB-MJ140-A4_02.11	GCA_049692815.1	JBAVPF000000000	SAMN40008579	Acidimicrobiia bacterium
PRJNA1071982	MFD03804_ilm_asm_bin4	LIB-MJ110-D2_04_v_LIB-MJ415-F1_04.4	GCA_049698555.1	JBAVXZ000000000	SAMN40008351	Acidimicrobiia bacterium
PRJNA1071982	MFD13439_ilm_asm_bin45	LIB-MJ390-F7_03.45	GCA_049642885.1	JBARPG000000000	SAMN40011955	Acidimicrobiia bacterium
PRJNA1071982	MFD10512_ilm_asm_bin25	LIB-MJ305-H7_04.25	GCA_049289005.1	JBAQIU000000000	SAMN40010201	Acidimicrobiia bacterium
PRJNA1071982	MFD01065_ilm_asm_bin30	LIB-MJ091-H3_03.30	GCA_049281315.1	JBAPRW000000000	SAMN40007848	Acidimicrobiia bacterium
PRJNA1071982	MFD01219_ilm_asm_bin25	LIB-MJ091-B7_03.25	GCA_049282215.1	JBAPTP000000000	SAMN40007803	Acidimicrobiia bacterium
PRJNA1071982	MFD00166_ilm_asm_bin5	LIB-MJ051-G5_02.5	GCA_049284615.1	JBAPYG000000000	SAMN40007682	Acidimicrobiia bacterium
PRJNA1071982	MFD01318_ilm_asm_bin49	LIB-MJ089-B7_02.49	GCA_049283195.1	JBAPVN000000000	SAMN40007753	Acidobacteriaceae bacterium
PRJNA1071982	MFD01152_ilm_asm_bin3	LIB-MJ091-E11_03.3	GCA_049281835.1	JBAPSW000000000	SAMN40007822	Acidobacteriaceae bacterium
PRJNA1071982	MFD01230_ilm_asm_bin11	LIB-MJ092-B4_01.11	GCA_049281235.1	JBAPRS000000000	SAMN40007852	Acidobacteriaceae bacterium
PRJNA1071982	MFD02850_ilm_asm_bin10	LIB-MJ093-A12_02_v_LIB-MJ408-C11_04.10	GCA_049280995.1	JBAPRH000000000	SAMN40007863	Acidobacteriaceae bacterium
PRJNA1071982	MFD00971_ilm_asm_bin24	LIB-MJ093-A5_02.24	GCA_049280915.1	JBAPRB000000000	SAMN40007869	Acidobacteriaceae bacterium
PRJNA1071982	MFD09353_ilm_asm_bin13	LIB-MJ306-C6_01.13	GCA_049288645.1	JBAQIC000000000	SAMN40010219	Acidobacteriaceae bacterium
PRJNA1071982	MFD00151_ilm_asm_bin48	LIB-MJ050-D6_02_v_LIB-MJ408-D10_04.48	GCA_049285415.1	JBAPZV000000000	SAMN40007641	Acidobacteriaceae bacterium
PRJNA1071982	MFD03685_ilm_asm_bin39	LIB-MJ109-H4_01.39	GCA_049698835.1	JBAVYP000000000	SAMN40008335	Acidobacteriaceae bacterium
PRJNA1071982	MFD02434_ilm_asm_bin1	LIB-MJ130-H5_01.1	GCA_049697555.1	JBAVVZ000000000	SAMN40008403	Acidobacteriaceae bacterium
PRJNA1071982	MFD03092_ilm_asm_bin12	LIB-MJ140-E2_02.12	GCA_049692235.1	JBAVOQ000000000	SAMN40008594	Acidobacteriaceae bacterium
PRJNA1071982	MFD02913_ilm_asm_bin22	LIB-MJ132-H3_03.22	GCA_049696575.1	JBAVUB000000000	SAMN40008453	Acidobacteriaceae bacterium
PRJNA1071982	MFD00689_ilm_asm_bin12	LIB-MJ139-C1_01.12	GCA_049693715.1	JBAVQC000000000	SAMN40008556	Acidobacteriaceae bacterium
PRJNA1071982	MFD10855_ilm_asm_bin16	LIB-MJ354-G9_04.16	GCA_049679565.1	JBAUGH000000000	SAMN40011245	Acidobacteriaceae bacterium
PRJNA1071982	MFD05762_ilm_asm_bin2	LIB-MJ354-C5_04_v_LIB-MJ403-G2_03.2	GCA_049680205.1	JBAUHJ000000000	SAMN40011217	Acidobacteriaceae bacterium
PRJNA1071982	MFD03298_ilm_asm_bin9	LIB-MJ354-D10_04.9	GCA_049680085.1	JBAUHD000000000	SAMN40011223	Acidobacteriaceae bacterium
PRJNA1071982	MFD06608_ilm_asm_bin37	LIB-MJ354-E8_04_v_LIB-MJ403-G4_03.37	GCA_049679885.1	JBAUGT000000000	SAMN40011233	Acidobacteriaceae bacterium
PRJNA1071982	MFD06608_ilm_asm_bin5	LIB-MJ354-E8_04_v_LIB-MJ403-G4_03.5	GCA_049679845.1	JBAUGR000000000	SAMN40011235	Acidobacteriaceae bacterium
PRJNA1071982	MFD10743_ilm_asm_bin2	LIB-MJ381-C1_02.2	GCA_049678485.1	JBAUEG000000000	SAMN40011298	Acidobacteriaceae bacterium
PRJNA1071982	MFD10743_ilm_asm_bin22	LIB-MJ381-C1_02.22	GCA_049678445.1	JBAUEE000000000	SAMN40011300	Acidobacteriaceae bacterium
PRJNA1071982	MFD10743_ilm_asm_bin27	LIB-MJ381-C1_02.27	GCA_049678405.1	JBAUEC000000000	SAMN40011302	Acidobacteriaceae bacterium
PRJNA1071982	MFD10722_ilm_asm_bin53	LIB-MJ383-D1_01.53	GCA_049676975.1	JBAUBS000000000	SAMN40011364	Acidobacteriaceae bacterium
PRJNA1071982	MFD10911_ilm_asm_bin12	LIB-MJ385-B1_04.12	GCA_049674165.1	JBATYQ000000000	SAMN40011444	Acidobacteriaceae bacterium
PRJNA1071982	MFD10911_ilm_asm_bin25	LIB-MJ385-B1_04.25	GCA_049674105.1	JBATYO000000000	SAMN40011446	Acidobacteriaceae bacterium
PRJNA1071982	MFD10792_ilm_asm_bin7	LIB-MJ386-C12_04.7	GCA_049672365.1	JBATWB000000000	SAMN40011511	Acidobacteriaceae bacterium
PRJNA1071982	MFD09535_ilm_asm_bin16	LIB-MJ386-F7_04.16	GCA_049671725.1	JBATVK000000000	SAMN40011528	Acidobacteriaceae bacterium
PRJNA1071982	MFD10881_ilm_asm_bin2	LIB-MJ354-A1_04_v_LIB-MJ367-A1_04.2	GCA_049790395.1	JBAQYX000000000	SAMN40011181	Acidobacteriaceae bacterium
PRJNA1071982	MFD06725_ilm_asm_bin41	LIB-MJ341-B10_02_v_LIB-MJ367-B10_04.41	GCA_049799675.1	JBARIH000000000	SAMN40010936	Acidobacteriaceae bacterium
PRJNA1071982	MFD06549_ilm_asm_bin4	LIB-MJ343-A6_01.4	GCA_049797775.1	JBARGA000000000	SAMN40010995	Acidobacteriaceae bacterium
PRJNA1071982	MFD06656_ilm_asm_bin26	LIB-MJ344-C1_04.26	GCA_049796755.1	JBARFA000000000	SAMN40011021	Acidobacteriaceae bacterium
PRJNA1071982	MFD06171_ilm_asm_bin16	LIB-MJ344-E9_04.16	GCA_049796435.1	JBARET000000000	SAMN40011028	Acidobacteriaceae bacterium
PRJNA1071982	MFD06571_ilm_asm_bin46	LIB-MJ338-C2_04.46	GCA_049802015.1	JBARLQ000000000	SAMN40010849	Acidobacteriaceae bacterium
PRJNA1071982	MFD06478_ilm_asm_bin34	LIB-MJ338-A5_04.34	GCA_049802135.1	JBARLW000000000	SAMN40010843	Acidobacteriaceae bacterium
PRJNA1071982	MFD06420_ilm_asm_bin2	LIB-MJ338-H10_04.2	GCA_049801775.1	JBARLE000000000	SAMN40010861	Acidobacteriaceae bacterium
PRJNA1071982	MFD06508_ilm_asm_bin1	LIB-MJ337-F9_03.1	GCA_049802575.1	JBARMS000000000	SAMN40010821	Acidobacteriaceae bacterium
PRJNA1071982	MFD06508_ilm_asm_bin41	LIB-MJ337-F9_03.41	GCA_049802515.1	JBARMP000000000	SAMN40010824	Acidobacteriaceae bacterium
PRJNA1071982	MFD06234_ilm_asm_bin62	LIB-MJ339-C9_03.62	GCA_049800575.1	JBARKB000000000	SAMN40010890	Acidobacteriaceae bacterium
PRJNA1071982	MFD06234_ilm_asm_bin117	LIB-MJ339-C9_03.117	GCA_049800615.1	JBARKD000000000	SAMN40010888	Acidobacteriaceae bacterium
PRJNA1071982	MFD09303_ilm_asm_bin3	LIB-MJ255-A7_02.3	GCA_049583105.1	JBAUVG000000000	SAMN40009457	Acidobacteriaceae bacterium
PRJNA1071982	MFD02197_ilm_asm_bin31	LIB-MJ255-B9_02.31	GCA_049582985.1	JBAUVA000000000	SAMN40009463	Acidobacteriaceae bacterium
PRJNA1071982	MFD02197_ilm_asm_bin37	LIB-MJ255-B9_02.37	GCA_049582965.1	JBAUUZ000000000	SAMN40009464	Acidobacteriaceae bacterium
PRJNA1071982	MFD01947_ilm_asm_bin45	LIB-MJ259-A2_04.45	GCA_049581605.1	JBAUSG000000000	SAMN40009535	Acidobacteriaceae bacterium
PRJNA1071982	MFD02167_ilm_asm_bin26	LIB-MJ259-E11_04.26	GCA_049581085.1	JBAURE000000000	SAMN40009563	Acidobacteriaceae bacterium
PRJNA1071982	MFD09294_ilm_asm_bin17	LIB-MJ250-F4_04.17	GCA_049585375.1	JBAUZR000000000	SAMN40009344	Acidobacteriaceae bacterium
PRJNA1071982	MFD09819_ilm_asm_bin20	LIB-MJ231-A8_04.20	GCA_049586355.1	JBAVBT000000000	SAMN40009293	Acidobacteriaceae bacterium
PRJNA1071982	MFD09400_ilm_asm_bin16	LIB-MJ191-C4_04.16	GCA_049590395.1	JBAWCV000000000	SAMN40008859	Acidobacteriaceae bacterium
PRJNA1071982	MFD01356_ilm_asm_bin2	LIB-MJ228-D11_01.2	GCA_049587035.1	JBAVDD000000000	SAMN40009257	Acidobacteriaceae bacterium
PRJNA1071982	MFD05469_ilm_asm_bin27	LIB-MJ200-H4_04.27	GCA_049578265.1	JBAULP000000000	SAMN40009084	Acidobacteriaceae bacterium
PRJNA1071982	MFD05564_ilm_asm_bin3	LIB-MJ198-D8_03.3	GCA_049579145.1	JBAUNG000000000	SAMN40009041	Acidobacteriaceae bacterium
PRJNA1071982	MFD04660_ilm_asm_bin19	LIB-MJ196-E8_02.19	GCA_049579805.1	JBAUOP000000000	SAMN40009006	Acidobacteriaceae bacterium
PRJNA1071982	MFD05605_ilm_asm_bin15	LIB-MJ174-G5_01.15	GCA_049593115.1	JBAWGS000000000	SAMN40008758	Acidobacteriaceae bacterium
PRJNA1071982	MFD04429_ilm_asm_bin1	LIB-MJ175-F2_02.1	GCA_049592415.1	JBAWGA000000000	SAMN40008776	Acidobacteriaceae bacterium
PRJNA1071982	MFD02204_ilm_asm_bin14	LIB-MJ177-G1_03.14	GCA_049591295.1	JBAWEQ000000000	SAMN40008812	Acidobacteriota bacterium
PRJNA1071982	MFD01219_ilm_asm_bin26	LIB-MJ091-B7_03.26	GCA_049282195.1	JBAPTO000000000	SAMN40007804	Acidobacteriota bacterium
PRJNA1071982	MFD12106_ilm_asm_bin5	LIB-MJ335-C12_02.5	GCA_049302255.1	JBAQLY000000000	SAMN40010719	Acidovorax sp.
PRJNA1071982	MFD12015_ilm_asm_bin49	LIB-MJ334-G11_01.49	GCA_049295555.1	JBAQQW000000000	SAMN40010590	Acidovorax sp.
PRJNA1071982	MFD00636_ilm_asm_bin2	LIB-MJ139-H6_01.2	GCA_049692935.1	JBAVPJ000000000	SAMN40008575	Acinetobacter bohemicus
PRJNA1071982	MFD01240_ilm_asm_bin5	LIB-MJ089-E11_02.5	GCA_049282855.1	JBAPUV000000000	SAMN40007771	Acinetobacter bohemicus
PRJNA1071982	MFD00758_ilm_asm_bin3	LIB-MJ132-F4_03.3	GCA_049696795.1	JBAVUN000000000	SAMN40008441	Acinetobacter calcoaceticus
PRJNA1071982	MFD02954_ilm_asm_bin6	LIB-MJ134-F9_03.6	GCA_049695315.1	JBAVRY000000000	SAMN40008508	Acinetobacter calcoaceticus
PRJNA1071982	MFD00208_ilm_asm_bin16	LIB-MJ054-D1_03.16	GCA_049284435.1	JBAPXX000000000	SAMN40007691	Acinetobacter sp.
PRJNA1071982	MFD01377_ilm_asm_bin22	LIB-MJ190-G9_02.22	GCA_049590775.1	JBAWDO000000000	SAMN40008840	Acinetobacter sp.
PRJNA1071982	MFD04419_ilm_asm_bin17	LIB-MJ229-G7_03.17	GCA_049586755.1	JBAVCQ000000000	SAMN40009270	Acinetobacter sp.
PRJNA1071982	MFD03894_ilm_asm_bin12	LIB-MJ135-H5_04.12	GCA_049694835.1	JBAVRH000000000	SAMN40008525	Acinetobacter sp.
PRJNA1071982	MFD02383_ilm_asm_bin12	LIB-MJ130-E1_01.12	GCA_049697715.1	JBAVWF000000000	SAMN40008397	Acinetobacter sp.
PRJNA1071982	MFD12217_ilm_asm_bin9	LIB-MJ387-A7_01.9	GCA_049670925.1	JBATUC000000000	SAMN40011562	Acinetobacter venetianus
PRJNA1071982	MFD09533_ilm_asm_bin3	LIB-MJ255-E1_02_v_LIB-MJ405-G8_01.3	GCA_049582705.1	JBAUUM000000000	SAMN40009477	Actinocatenispora sp.
PRJNA1071982	MFD12931_ilm_asm_bin8	LIB-MJ390-E1_03.8	GCA_049643745.1	JBARQN000000000	SAMN40011922	Actinomycetes bacterium
PRJNA1071982	MFD02847_ilm_asm_bin1	LIB-MJ090-H10_04.1	GCA_049282455.1	JBAPUB000000000	SAMN40007791	Actinomycetes bacterium
PRJNA1071982	MFD13529_ilm_asm_bin10	LIB-MJ414-D9_03.10	GCA_049273905.1	JBASRP000000000	SAMN40012597	Actinomycetota bacterium
PRJNA1071982	MFD12059_ilm_asm_bin8	LIB-MJ335-B6_02.8	GCA_049302895.1	JBAQMN000000000	SAMN40010704	Actinomycetota bacterium
PRJNA1071982	MFD02482_ilm_asm_bin6	LIB-MJ260-E4_01.6	GCA_049687635.1	JBAVJF000000000	SAMN40009593	Actinomycetota bacterium
PRJNA1071982	MFD04307_ilm_asm_bin8	LIB-MJ226-E8_01.8	GCA_049587975.1	JBAVEY000000000	SAMN40009210	Actinomycetota bacterium
PRJNA1071982	MFD04287_ilm_asm_bin1	LIB-MJ389-F7_03.1	GCA_049647105.1	JBARWZ000000000	SAMN40011754	Actinophytocola sp.
PRJNA1071982	MFD13472_ilm_asm_bin38	LIB-MJ413-E9_01.38	GCA_049652345.1	JBASDV000000000	SAMN40012340	Acutalibacteraceae bacterium
PRJNA1071982	MFD13471_ilm_asm_bin51	LIB-MJ413-F9_01.51	GCA_049277675.1	JBASYX000000000	SAMN40012407	Acutalibacteraceae bacterium
PRJNA1071982	MFD13470_ilm_asm_bin3	LIB-MJ413-G9_01.3	GCA_049275755.1	JBASVC000000000	SAMN40012506	Acutalibacteraceae bacterium
PRJNA1071982	MFD12211_ilm_asm_bin18	LIB-MJ389-G11_03.18	GCA_049646885.1	JBARWQ000000000	SAMN40011763	Aequorivita sp.
PRJNA1071982	MFD01617_ilm_asm_bin8	LIB-MJ131-H9_01.8	GCA_049697095.1	JBAVVC000000000	SAMN40008426	Aeromicrobium sp.
PRJNA1071982	MFD05455_ilm_asm_bin22	LIB-MJ228-A8_01.22	GCA_049587115.1	JBAVDI000000000	SAMN40009252	Aeromicrobium sp.
PRJNA1071982	MFD09716_ilm_asm_bin5	LIB-MJ228-A7_01.5	GCA_049587195.1	JBAVDK000000000	SAMN40009250	Aeromicrobium sp.
PRJNA1071982	MFD05649_ilm_asm_bin28	LIB-MJ190-E8_02.28	GCA_049590815.1	JBAWDR000000000	SAMN40008837	Aeromicrobium sp.
PRJNA1071982	MFD05648_ilm_asm_bin17	LIB-MJ230-D8_03.17	GCA_049586495.1	JBAVCB000000000	SAMN40009285	Aeromicrobium sp.
PRJNA1071982	MFD00707_ilm_asm_bin14	LIB-MJ088-C1_04.14	GCA_049283675.1	JBAPWL000000000	SAMN40007729	Aeromicrobium sp.
PRJNA1071982	MFD12162_ilm_asm_bin24	LIB-MJ386-B10_04.24	GCA_049672985.1	JBATXA000000000	SAMN40011486	Aeromonas molluscorum
PRJNA1071982	MFD02971_ilm_asm_bin4	LIB-MJ145-A2_01.4	GCA_049691635.1	JBAVOA000000000	SAMN40008610	Aestuariivirga sp.
PRJNA1071982	MFD01576_ilm_asm_bin7	LIB-MJ129-G10_02.7	GCA_049698055.1	JBAVWZ000000000	SAMN40008377	Aestuariivirga sp.
PRJNA1071982	MFD13444_ilm_asm_bin28	LIB-MJ390-A7_03.28	GCA_049646125.1	JBARVH000000000	SAMN40011798	Aestuariivirga sp.
PRJNA1071982	MFD01381_ilm_asm_bin2	LIB-MJ198-G4_03.2	GCA_049578885.1	JBAUMV000000000	SAMN40009052	Aestuariivirga sp.
